"year","month","day","country","title","text","hazard_category","product_category","hazard","product"
"2021","3","15","uk","Recall of Plastic Cutting Boards due to Excessive Chemical Leaching","Recall of Plastic Cutting Boards due to Excessive Chemical Leaching Tweet Tuesday, 15 March 2021 Summary Category 2: For Information Alert Notification: 2021.12 Product: Plastic Cutting Board, Multicolored; article number, 603.892.14; marked “Made in China” Batch Code: Various, see attached list Country Of Origin: China Message: A major retailer is recalling various batches of plastic cutting boards due to excessive leaching of chemicals (melamine) above the EU legal limit. The affected products were sold nationwide between December 2020 and March 2021. Consumers are advised to return the products to the store for a full refund. Health concerns are minimal but long-term exposure could pose risks.\nRecall of Plastic Cutting Boards due to Excessive Chemical Leaching Tweet Tuesday, 15 March 2021 Summary Category 2: For Information Alert Notification: 2021.12 Product: Plastic Cutting Board, Multicolored; article number, 603.892.14; marked “Made in China” Batch Code: Various, see attached list Country Of Origin: China Message: A major retailer is recalling various batches of plastic cutting boards due to excessive leaching of chemicals (melamine) above the EU legal limit. The affected products were sold nationwide between December 2020 and March 2021. Consumers are advised to return the products to the store for a full refund. Health concerns are minimal but long-term exposure could pose risks.","migration","food contact materials","other","melamine"
"2021","3","22","uk","Recall of Bamboo Cutting Boards due to Excessive Formaldehyde Migration","Recall of Bamboo Cutting Boards due to Excessive Formaldehyde Migration Tweet Tuesday, 22 March 2021 Summary Category 2: For Information Alert Notification: 2021.18 Product: Bamboo Cutting Board, Large; product code, 897.342; marked “Made in Vietnam” Batch Code: All batches sold between November 2020 and March 2021 Country Of Origin: Vietnam Message: A popular home goods retailer is recalling its bamboo cutting boards due to the migration of formaldehyde above acceptable levels. Point-of-sale notices will be displayed in stores. The affected cutting boards were sold nationwide. No immediate health risks are anticipated, but prolonged exposure could be harmful.\nRecall of Bamboo Cutting Boards due to Excessive Formaldehyde Migration Tweet Tuesday, 22 March 2021 Summary Category 2: For Information Alert Notification: 2021.18 Product: Bamboo Cutting Board, Large; product code, 897.342; marked “Made in Vietnam” Batch Code: All batches sold between November 2020 and March 2021 Country Of Origin: Vietnam Message: A popular home goods retailer is recalling its bamboo cutting boards due to the migration of formaldehyde above acceptable levels. Point-of-sale notices will be displayed in stores. The affected cutting boards were sold nationwide. No immediate health risks are anticipated, but prolonged exposure could be harmful.","migration","food contact materials","other","bamboo"
"2021","3","15","uk","Recall of Blue Plastic Cutlery Set Due to Migration of Harmful Substances","Recall of Blue Plastic Cutlery Set Due to Migration of Harmful Substances Tweet Tuesday, 15 March 2021 Summary Category 2: For Information Alert Notification: 2021.12 Product: Blue Plastic Cutlery Set Batch Code: PCS-001 Country Of Origin: Vietnam Message: The blue plastic cutlery set listed above is being recalled due to migration of harmful substances (bisphenol A) above the legal limit. This product was sold in various retail stores across the UK. The recall does not affect other cutlery sets. No immediate health concerns are expected from using this product.","migration","food contact materials","other","plastics"
"2023","9","15","us","Recall of Silicone Baking Mats Due to Excessive Chemical Migration","Recall of Silicone Baking Mats Due to Excessive Chemical Migration Friday, 15 September 2023 Summary Category 2: For Information Alert Notification: 2023.34 Product: Silicone Baking Mat Batch Code: Product Code: 87654321 - Batch Code: 230614 Country Of Origin: Vietnam Message: The manufacturer is recalling the above batch of silicone baking mats. The mats may release chemicals (methylbenzene) into food above the EU legal limit. This product may have been purchased from various online retailers.","migration","food contact materials","other","silicone"
"2021","3","15","uk","Recall of Certain Plastic Food Containers Due to Elevated Levels of Bisphenol A","Recall of Certain Plastic Food Containers Due to Elevated Levels of Bisphenol A Tweet Tuesday, 15 March 2021 Summary Category 2: For Information Alert Notification: 2021.12 Product: Plastic Food Containers, Green; article number, 703.124.47; marked “Made in China” Plastic Food Containers, Blue; article number: 703.269.20; marked “Made in China” Batch Code: Article numbers listed above Country Of Origin: China Message: The manufacturer is recalling certain plastic food containers due to migration of elevated levels of bisphenol A (BPA). Point-of-sale recall notices will be displayed in stores. The implicated containers were sold between January 2021 and March 2021. The recall does not affect the containers marked “Made in Germany.” Health concerns are associated with chronic exposure to this substance.","migration","food contact materials","other","plastics"
"2022","7","25","us","Sweet Treats Inc. — Fruity Jelly Bites 400g","PRA No. 2022/21987 Date published 25 Jul 2022 Product description Fruity Jelly Bites 400g Strawberry flavour Production Date 15/05/2022 Best Before 14/05/2023 Identifying features Best before date 14 May 2023 What are the defects? The jelly bites contain konjac, which is not permitted in the U.S. What are the hazards? Konjac can cause choking if it lodges in the throat. What should consumers do? Consumers should not eat this product and return it to the place of purchase for a full refund. For further information, contact Sweet Treats Inc. at 1-800-555-1234. Supplier Sweet Treats Inc. Traders who sold this product Various grocery stores Where the product was sold California, Nevada Dates available for sale 1 June 2022 - 15 July 2022 Recall advertisements and supporting documentation Recall notice.pdf (200.12 KB) Responsible regulator U.S. Food and Drug Administration is the responsible regulator for this recall. Product category Jelly bites containing konjac × Fruity Jelly Bites Close","food additives and flavourings","confectionery","e 425 - konjac unauthorised","jelly bites"
"2020","3","15","ca","Sweet Treats Inc. recalls Fruity Jelly Bites due to unauthorized ingredient","Sweet Treats Inc. is recalling its Fruity Jelly Bites because the product contains pectin, which is not permitted as an ingredient in jelly mini-cup products as it presents a choking hazard. Product details: Fruity Jelly Bites Pack size: 350g bag (18 pieces) Best before all dates Batch description: Mixed Fruit Flavours No other Sweet Treats Inc. products are known to be affected. Risk statement: Choking Hazard The product contains pectin which can present a choking hazard. Action taken by the company: Sweet Treats Inc. is recalling the above product and has informed its customers. A point-of-sale notice will be displayed in all retail stores that are selling this product. This notice explains to customers why the product is being recalled and tells them what to do if they have bought the product. Please see the attached notice. Sweet Treats point-of-sale notice (March 2020) Our advice to consumers: If you have bought the above product do not eat it. Instead, return it to the store from where it was bought. About product recalls and withdrawals: If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-14-2020 Subscribe to news and alerts","food additives and flavourings","confectionery","e 440 - pectin unauthorised","jellies"
"2019","8","15","uk","SweetSpice Ltd — Fruity Jelly Bites","PRA No. 2019/18452 Date published 15 Aug 2019 Product description Fruity Jelly Bites containing konjac. Pack Size - 250g. What are the defects? The jelly bites contain konjac, which is not permitted in this product type. What are the hazards? Potential choking hazard if consumed whole. May obstruct the throat and cause breathing difficulties. What should consumers do? Consumers should stop using the product immediately and return it to the point of purchase for a full refund. For more information, contact SweetSpice Ltd at 020 7946 0958. Supplier SweetSpice Ltd Traders who sold this product Local supermarkets and convenience stores Where the product was sold Nationwide Dates available for sale 1 March 2019 - 30 July 2019 Recall advertisements and supporting documentation Recall Notice.pdf (120.3 KB) Responsible regulator Food Standards Agency is the responsible regulator for this recall. Product category Fruity Jelly Bites × Fruity Jelly Bites Close","food additives and flavourings","confectionery","e 425 - konjac unauthorised","jellies"
"2021","7","2","uk","Sweet Delights Ltd Recalls Strawberry Jelly Pots","Sweet Delights Ltd is recalling its 300g packs of Strawberry Jelly Pots due to the presence of konjac, which is not permitted for use in jelly products in the UK. The product has been available for sale in various retail stores across the country. Konjac does not dissolve easily and can pose a choking hazard, especially for young children. The affected product has a batch code of L210620 and a best before date of June 2022. Consumers who have purchased this product are advised not to consume it and return it to the point of purchase for a full refund. For further information, contact Sweet Delights Ltd at 01234 567890 or email info@sweetdelights.co.uk. This recall does not affect any other Sweet Delights Ltd products.","food additives and flavourings","confectionery","e 425 - konjac unauthorised","jelly pots"
"2021","5","15","us","SweetDelights Inc. — Fruity Jelly Bites","PRA No. 2021/0515 Date published 15 May 2021 Product description Fruity Jelly Bites containing konjac 100g What are the defects? The fruity jelly bites contain konjac. Mini jelly cups containing konjac are permanently banned in the United States. What are the hazards? Potential choking hazard if swallowed whole. May lodge in throat and restrict air supply. What should consumers do? Consumers should immediately cease consumption of the product and should return it to place of purchase for a full refund. For further information, contact SweetDelights Inc. at info@sweetdelights.com Supplier SweetDelights Inc. Traders who sold this product Local grocery stores and supermarkets Where the product was sold Nationally Dates available for sale 1 March 2021 - 10 May 2021 Recall advertisements and supporting documentation Recall Advertisement.pdf (120.75 KB) Responsible regulator Food Safety and Inspection Service is the responsible regulator for this recall. Product category Fruity jelly bites containing konjac × Fruity Jelly Bites Close","food additives and flavourings","confectionery","e 425 - konjac unauthorised","jellies"
