"year","month","day","country","title","text","hazard_category","product_category","hazard","product"
"2021","9","15","de","Glass Fragments Found in Sugar Syrup Prompts Recall by SweetTreats Inc.","SweetTreats Inc. has issued a recall for their sugar syrup products due to the potential presence of glass fragments. The company initiated this recall after receiving consumer complaints and internal quality checks identified the issue. The affected products were distributed nationwide through various retail stores and online platforms. The syrup is commonly used in beverages, baking, and confectionery. Consumers are advised to check their products and return them to the point of purchase for a full refund. The recall affects all syrup products with batch numbers starting with 'GH2021'. No injuries have been reported to date, but the company urges caution due to the risk of injury from glass fragments. For further information, consumers can contact SweetTreats Inc. customer service at 0800-123-4567, available Monday through Friday from 8 am to 6 pm. The company is working closely with regulatory authorities to ensure all affected products are removed from the market.","foreign bodies","sugars and syrups","glass fragment","syrup"
"2021","3","12","us","Recall of Silicone Baking Mats Due to Migration of Harmful Chemicals","Recall of Silicone Baking Mats Due to Migration of Harmful Chemicals Tweet Saturday, 12 March 2021 Summary Category 2: For Information Alert Notification: 2021.15 Product: EasyBake Silicone Baking Mat, Red; product number, 897.345.67; marked “Made in China” EasyBake Silicone Baking Mat, Green; product number: 897.345.68; marked “Made in China” Batch Code: Product numbers listed above Country Of Origin: China Message: EasyBake is recalling Silicone Baking Mats listed above due to migration of harmful chemicals (Bisphenol A). Point-of-sale recall notices will be displayed in stores. The implicated mats were sold between December 2020 and March 2021. The recall does not affect the EasyBake silicone baking mats marked “Made in Germany.” Health concerns are not expected as they are associated with chronic, life-time exposure to this substance.\nRecall of Silicone Baking Mats Due to Migration of Harmful Chemicals Tweet Saturday, 12 March 2021 Summary Category 2: For Information Alert Notification: 2021.15 Product: EasyBake Silicone Baking Mat, Red; product number, 897.345.67; marked “Made in China” EasyBake Silicone Baking Mat, Green; product number: 897.345.68; marked “Made in China” Batch Code: Product numbers listed above Country Of Origin: China Message: EasyBake is recalling Silicone Baking Mats listed above due to migration of harmful chemicals (Bisphenol A). Point-of-sale recall notices will be displayed in stores. The implicated mats were sold between December 2020 and March 2021. The recall does not affect the EasyBake silicone baking mats marked “Made in Germany.” Health concerns are not expected as they are associated with chronic, life-time exposure to this substance.","migration","food contact materials","other","silicone"
"2022","10","15","uk","Urgent Recall of BeeSweet Pure Honey Due to Presence of Unauthorised Antibiotics","Urgent Recall of BeeSweet Pure Honey Due to Presence of Unauthorised Antibiotics Issue Date 15.10.2022 Source of Information UK Food Standards Agency Food Product Bottled honey Product Name and Description Product: BeeSweet Pure Honey Brand: Nature's Delight Distributor: GreenMeadow Ltd. Net weight: 500 grams per bottle Best-before date: March 15, 2024 Reason For Issuing Alert The UK Food Standards Agency collected the above-mentioned honey sample from a retail store in London for testing under its routine Food Surveillance Programme. The test result showed that the sample contained streptomycin at a level of 2.8 micrograms per kg. According to the Joint FAO/WHO Expert Committee on Food Additives (JECFA), residues of streptomycin or its metabolites may cause significant health concerns, and competent authorities should prevent residues of streptomycin in food. Action Taken by the UK Food Standards Agency The UK Food Standards Agency has notified the vendor concerned of the test result and instructed it to stop selling the affected batch of the product. The distributor concerned has also initiated a recall on the affected batch of the product according to the UK Food Standards Agency's instruction. The UK Food Standards Agency is tracing the source and distribution of the food in question. Prosecution will be instituted should there be sufficient evidence. The UK Food Standards Agency will alert the trade, continue to follow up on the case and take appropriate action. An investigation is ongoing. Advice to the Trade Stop using or selling the products concerned immediately if they possess them. Advice to Consumers Members of the public may call its hotline at 020 7276 8658 during office hours for enquiries about the recall of the product. Further Information The UK Food Standards Agency press release Food Standards Agency 2022-10-15 Back","chemical","honey and royal jelly","streptomycin unauthorised","pure honey"
"2023","1","25","uk","Food Recall: Sunnyvale Foods Issues Allergy Alert on Undeclared Soy in Chocolate Flavoring","Sunnyvale Foods of Birmingham, UK, is recalling its Chocolate Flavoring due to the presence of undeclared soy. People who have an allergy or severe sensitivity to soy run the risk of a serious or life-threatening allergic reaction if they consume this product. The product was distributed nationwide in the UK. The recalled product is identified by the name Chocolate Flavoring with product code 456789 and lot number 123456A789B. The lot number is located on the bottom of the packaging. The product was produced on October 15, 2022, and has a best before date of October 14, 2024. The product is packaged in 1 kg (2.2 lbs) bags, 10 bags per case. No other Sunnyvale Foods products or Chocolate Flavoring lot numbers are recalled. The recall was initiated after it was discovered that several units from the identified lot number tested positive for the presence of soy and were distributed in packaging that did not reveal the presence of soy in the product. A subsequent investigation is ongoing. No adverse events or reports of illness or injury related to this matter have been reported to date. Sunnyvale Foods recommends that anyone who purchased or is in possession of the product immediately discontinue use and verify if they retain the affected lot. Those in possession of recalled lot #123456A789B should contact Sunnyvale Foods at 0121 123 4567 for further instruction. Businesses carrying this product should return it to the headquarters in Birmingham for product replacement or credit. Sunnyvale Foods will arrange for the return of the product at no cost. If you have questions or inquiries please call this designated line: 0121 123 4567, or email info@sunnyvalefoods.co.uk, Monday – Friday 9:00 a.m. – 5:00 p.m. GMT. This recall is being made with the knowledge of the UK Food Standards Agency.","allergens","food additives and flavourings","soy and products thereof","flavours"
"2023","10","5","us","Recall of Golden Sunrise Food Dye Due to Contamination with Propylene Glycol","Golden Sunrise is recalling its line of food dyes due to the detection of propylene glycol, a chemical not approved for use in food dyes in the United States. The affected products include Golden Sunrise Red, Blue, and Green food dyes in all pack sizes and batches. Consumers are advised not to use these products and to return them to the place of purchase for a full refund. The company has initiated a recall and is working with retailers to remove the products from shelves. For more information, contact Golden Sunrise customer service at 1-800-555-1234. The FDA is monitoring the recall and will provide updates as necessary. Product details: Golden Sunrise Red Pack size: All sizes Batch code: All batches Best before: All dates Golden Sunrise Blue Pack size: All sizes Batch code: All batches Best before: All dates Golden Sunrise Green Pack size: All sizes Batch code: All batches Best before: All dates Risk statement: Propylene glycol contamination Propylene glycol is not approved for use in food dyes in the United States. Consumption of affected products may cause allergic reactions in sensitive individuals. Action taken by the company: Golden Sunrise is recalling the above products. Point of sale notices will be displayed in all retail stores that are selling these products. These notices explain to customers why the products are being recalled and tell them what to do if they have bought the products. Please see the attached notice. Consumer Notice: Golden Sunrise recalls food dyes due to propylene glycol contamination. Our advice to consumers If you have bought any of the above products do not use it. Instead, return it to the store from where it was bought for a full refund. About product recalls and withdrawals If there is a problem with a food product that means it should not be sold, then it might be \'withdrawn\' (taken off the shelves) or \'recalled\' (when customers are asked to return the product). The FDA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a \'Food Alert for Action\' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FDA-PRIN-45-2023 Subscribe to news and alerts","chemical","food additives and flavourings","contamination with propylene glycol","dyes"
"2023","6","12","fr","Rappel de Colorants Alimentaires Vitalife en raison de la présence de Benzoate de Sodium Non Autorisé","Vitalife rappelle ses colorants alimentaires en raison de la présence de benzoate de sodium non autorisé dans l'Union Européenne. Les produits concernés sont les colorants alimentaires Vitalife Rouge, Jaune et Vert, toutes tailles de paquets et lots. Les consommateurs sont invités à ne pas utiliser ces produits et à les retourner au point de vente pour un remboursement complet. L'entreprise a lancé un rappel et travaille avec les détaillants pour retirer les produits des rayons. Pour plus d'informations, contactez le service client de Vitalife au 01-45-67-89-00. L'Agence nationale de sécurité sanitaire de l’alimentation (ANSES) surveille le rappel et fournira des mises à jour si nécessaire. Détails des produits : Colorant alimentaire Vitalife Rouge Taille du paquet : Toutes tailles Code de lot : Tous lots Meilleur avant : Toutes dates Colorant alimentaire Vitalife Jaune Taille du paquet : Toutes tailles Code de lot : Tous lots Meilleur avant : Toutes dates Colorant alimentaire Vitalife Vert Taille du paquet : Toutes tailles Code de lot : Tous lots Meilleur avant : Toutes dates Déclaration de risque : Présence de benzoate de sodium non autorisé Le benzoate de sodium non autorisé peut provoquer des réactions allergiques chez les personnes sensibles. Mesures prises par l'entreprise : Vitalife rappelle les produits ci-dessus. Des avis en point de vente seront affichés dans tous les magasins vendant ces produits. Ces avis expliquent aux clients pourquoi les produits sont rappelés et leur indiquent ce qu'ils doivent faire s'ils ont acheté les produits. Veuillez consulter l'avis joint. Avis aux consommateurs : Vitalife rappelle les colorants alimentaires en raison de la présence de benzoate de sodium non autorisé. Nos conseils aux consommateurs Si vous avez acheté l'un des produits ci-dessus, ne l'utilisez pas. Au lieu de cela, retournez-le au magasin où il a été acheté pour un remboursement complet. À propos des rappels et retraits de produits Si un problème avec un produit alimentaire signifie qu'il ne doit pas être vendu, il peut être \'retiré\' (retiré des rayons) ou \'rappelé\' (lorsque les clients sont invités à retourner le produit). L'ANSES émet des Avis d'Information sur le Retrait de Produits et des Avis d'Information sur le Rappel de Produits pour informer les consommateurs et les autorités locales des problèmes associés aux aliments. Dans certains cas, une \'Alerte Alimentaire pour Action\' est émise. Cela fournit aux autorités locales des détails sur les mesures spécifiques à prendre au nom des consommateurs. Ref: ANSES-PRIN-32-2023 Abonnez-vous aux nouvelles et alertes","chemical","food additives and flavourings","unauthorised substance benzoate de sodium","dyes"
"2023","8","15","ca","Organic Sunflower Oil recalled due to bacterial contamination","Notification - Organic Sunflower Oil recalled due to bacterial contamination From: Canadian Food Inspection Agency Recall / advisory date: August 15, 2023 Reason for recall / advisory: Microbiological - Non harmful (Quality/Spoilage) Hazard classification: Class 3 Company / Firm: Green Valley Foods Distribution: Ontario, Quebec, British Columbia Extent of the distribution: Retail Reference number: 15201 Contents Affected products Public enquiries and media Affected products Brand Name Common Name Size UPC Code(s) on Product Green Valley Organic Sunflower Oil 500\xa0ml 8\xa012345\xa067890\xa01 B230815BB Public enquiries and media Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: cfia.enquiries-demandederenseignements.acia@canada.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@canada.ca Report a problem or mistake on this page Please select all that apply: A link, button or video is not working It has a spelling mistake Information is missing Information is outdated or wrong Login error when trying to access an account (e.g. My Service Canada Account) GC Key access SecureKey Concierge (Banking Credential) access Personal Access Code (PAC) problems or EI Access Code (AC) problems Social Insurance Number (SIN) validation problems Other login error not in this list I can't find what I'm looking for Other issue not in this list Submit Thank you for your help! You will not receive a reply. For enquiries,\xa0contact us. Date modified: 2023-08-16","biological","fats and oils","bacterial contamination","sunflower oil"
"2007","10","15","uk","Contamination Alert for Sunshine Brand Cooking Oil","On Monday, 15 October 2007, a contamination alert was issued for Sunshine Brand Cooking Oil. The product, manufactured by Sunrise Foods Ltd, has been found to contain traces of the unauthorized dye Sudan Red. The affected oil was produced in a batch from Ghana and distributed across various retail outlets in the UK. The product details are as follows: Sunshine Brand Cooking Oil, 1 litre and 2 litre plastic bottles with a yellow screw cap. The label features a sunrise logo with the text 'Pure Vegetable Oil' in bold letters. The best before date is June 2008. Local authorities are advised to ensure the product is withdrawn from sale and destroyed. Consumers are urged not to consume the product and return it to the point of purchase for a full refund. For further information, contact Sunrise Foods Ltd at 0800 123 4567.","chemical","fats and oils","unauthorised colour sudan red","cooking oil"
"2020","11","22","us","Recall of Sunny Day Olive Oil due to presence of illegal dye Sudan III","Sunny Day Olive Oil is being recalled due to the presence of the illegal dye Sudan III, which is potentially genotoxic and carcinogenic. Sudan dyes are red dyes that are used in industrial applications and are not permitted for use in foods.\nProduct: Sunny Day Olive Oil Pack size: 750 millilitres ‘Best before’ date: 15 December 2021 Batch code: XY45289F Product: Sunny Day Extra Virgin Olive Oil Pack size: 1 litre ‘Best before’ date: 30 January 2022 Batch code: ZW98321B\n\nThe illegal dye Sudan III is potentially genotoxic and possibly carcinogenic.\nIf you have bought any of the above products do not consume them. Instead, return them to the store from where they were bought for a full refund.\nSunny Day is recalling the above products. The company has been advised to display point of sale notices in all retail stores that are selling these products. These notices explain to customers why the products are being recalled and tell them what to do if they have bought the product.\nIf there is a problem with a food product that means it should not be sold, then it might be \'withdrawn\' (taken off the shelves) or \'recalled\' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a \'Food Alert for Action\' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Ref: FSA-PRIN-30-2020","chemical","fats and oils","unauthorised colour sudan 3","olive oil"
"2023","5","10","us","Bottled Olive Oil recalled due to contamination with dioxins","Notification - Bottled Olive Oil recalled due to contamination with dioxins From: Food and Drug Administration (FDA) Recall Date: May 10, 2023 Reason for Recall: Chemical Hazard Classification: Class 1 Company: Green Earth Foods Distribution: Nationwide Extent of Distribution: Retail and Online Reference Number: 56789 Contents Affected Products Brand Name Common Name Size UPC Code(s) on Product Green Earth Olive Oil Extra Virgin 500 ml 890123456789 All Lots Public Enquiries and Media Public Enquiries Toll-free: 1-888-555-1234 (U.S.) Telephone: 1-555-123-4567 (local or international) Email: info@greenearthfoods.com Media Relations Telephone: 1-555-456-7890 Email: media@greenearthfoods.com Report a problem on this page Date modified: 2023-05-12","chemical","fats and oils","dioxins","olive oil"
